,股票代码,股票简称,ROE2022,ROE2021,ROE2020,ROE2019,ROE2018
1244,300911.SZ,亿田智能,16.57,18.95,35.23,43.36,43.47
1249,300357.SZ,我武生物,18.77,21.45,20.55,26.04,26.63
1252,002677.SZ,浙江美大,23.52,37.04,34.35,33.05,29.28
1255,002372.SZ,伟星新材,25.84,27.0,29.95,27.05,29.45
1280,873530.BJ,佰能盈天,28.05,25.6,27.13,30.86,46.51
1287,873110.BJ,山安蓝天,17.59,18.94,39.22,26.3,42.34
1288,872987.BJ,山香教育,26.23,29.51,30.26,38.04,39.41
1289,872953.BJ,国子软件,27.84,41.85,18.7,17.42,34.3
1290,872928.BJ,恒友股份,30.56,50.43,43.87,59.59,64.7
1295,872522.BJ,腾飞人才,27.75,31.72,45.43,37.6,32.38
1296,872504.BJ,新日月,32.81,28.84,59.19,42.19,31.63
1298,872400.BJ,爱维尔,15.05,26.22,29.18,30.41,26.99
1309,870480.BJ,华康生物,21.46,20.23,26.66,22.23,33.54
1310,870386.BJ,宏银信息,52.3,59.05,48.16,23.24,17.1
1317,839621.BJ,比例聚合,40.91,36.57,32.0,28.11,19.24
1319,839295.BJ,金百汇,18.24,26.99,32.01,38.88,16.25
1323,838587.BJ,泽鑫科技,37.47,36.22,34.65,35.39,18.77
1324,838264.BJ,天翔新材,18.72,23.26,41.8,26.76,34.09
1325,838042.BJ,中经世纪,18.55,20.19,20.31,21.56,21.98
1327,837952.BJ,鑫紫竹,26.08,25.07,22.53,37.51,26.37
1336,837217.BJ,江南传媒,17.85,20.0,21.0,26.93,29.62
1338,836935.BJ,小棉袄,36.57,60.25,63.4,61.38,73.01
1340,836770.BJ,创洁工贸,21.93,22.74,17.61,19.4,20.04
1341,836641.BJ,奇华光电,24.27,28.7,35.28,28.98,27.02
1343,836381.BJ,宝信咨询,15.22,30.49,25.58,33.08,33.0
1351,834781.BJ,新生活,19.66,19.18,38.25,23.29,29.04
1356,834058.BJ,华洋赛车,51.39,84.95,46.06,28.71,38.57
1357,834014.BJ,特瑞斯,15.3,18.84,36.4,26.14,24.34
1358,833976.BJ,新游网络,41.41,43.69,40.38,44.44,43.38
1362,833265.BJ,润杰农科,20.59,20.68,21.23,18.3,20.3
1363,833112.BJ,海宏电力,33.08,26.81,20.56,21.33,28.79
1370,831554.BJ,智博联,21.68,29.35,48.03,25.11,26.95
1371,831318.BJ,信易科技,33.37,41.18,40.37,32.51,37.56
1376,688665.SH,四方光电,17.09,26.62,45.09,52.23,15.34
1380,603213.SH,镇洋发展,23.3,48.29,17.5,27.07,42.7
1386,430658,舜网传媒,22.42,20.28,22.6,20.87,16.01
1391,430119,鸿仪四方,16.9,18.36,18.76,15.22,18.0
1397,001223.SZ,欧克科技,27.4,49.47,102.38,47.79,58.32
1398,000848.SZ,承德露露,23.7,25.83,20.9,24.55,21.99
1403,873510.BJ,三新股份,19.05,18.94,23.98,22.35,21.19
1406,873363.BJ,鑫泰新材,18.27,23.46,22.81,25.15,41.09
1407,873329.BJ,嘉邻物业,16.94,21.72,21.53,24.21,35.69
1414,871653.BJ,德融嘉信,45.42,25.97,118.02,27.92,51.89
1421,839833.BJ,赤马传媒,17.45,20.03,18.69,20.97,26.26
1424,839153.BJ,希尔孚,17.75,18.48,17.49,18.12,21.11
