,股票代码,股票简称,ROE2022
2754,603387.SH,基蛋生物,21.76
2755,603338.SH,浙江鼎力,19.32
2759,603279.SH,景津装备,22.79
2762,603227.SH,雪峰科技,26.63
2768,603185.SH,弘元绿能,32.61
2771,603073.SH,彩蝶实业,16.44
2773,603060.SH,国检集团,15.2
2778,601702.SH,华峰铝业,19.38
2779,601699.SH,潞安环能,33.98
2783,601225.SH,陕西煤业,35.28
2785,601133.SH,柏诚股份,21.55
2786,601065.SH,江盐集团,22.19
2796,600790.SH,轻纺城,19.31
2807,600559.SH,老白干酒,17.47
2825,430745,诺文科技,28.1
2833,430653,同望科技,31.64
2837,430550,沃克斯,43.34
2845,430442,华昊电器,33.13
2871,430158,北方科诚,15.41
2884,400149,金泰5,47.05
2912,301429.SZ,森泰股份,15.85
2914,301357.SZ,北方长龙,22.71
2915,301338.SZ,凯格精机,16.16
2916,301337.SZ,亚华电子,23.52
2926,301203.SZ,国泰环保,29.29
2939,301060.SZ,兰卫医学,34.39
2977,300776.SZ,帝尔激光,16.63
3018,300502.SZ,新易盛,20.73
3025,300438.SZ,鹏辉能源,18.8
3050,300260.SZ,新莱应材,24.07
3065,300171.SZ,东富龙,18.11
3070,300149.SZ,睿智医药,17.52
3076,300071.SZ,福石控股,28.49
3097,002937.SZ,兴瑞科技,19.04
3106,002831.SZ,裕同科技,15.19
3113,002758.SZ,浙农股份,15.82
3114,002738.SZ,中矿资源,56.9
3126,002597.SZ,金禾实业,27.03
3132,002517.SZ,恺英网络,26.19
3145,002200.SZ,ST交投,23.61
3153,001331.SZ,胜通能源,17.63
3154,001324.SZ,长青科技,15.26
3156,001301.SZ,尚太科技,51.82
3161,000937.SZ,冀中能源,21.42
3171,000762.SZ,西藏矿业,36.8
3189,874027.BJ,永驰科技,19.06
3190,874023.BJ,传美讯,30.15
3191,874017.BJ,伟焕机械,26.3
3192,874001.BJ,北方创信,15.63
3195,873964.BJ,富瑞雪,19.81
3197,873959.BJ,迅航星辰,16.62
3198,873957.BJ,驭腾能环,52.37
3199,873956.BJ,久恒智循,29.68
3200,873951.BJ,泰禾环保,31.58
3201,873947.BJ,艾力泰尔,21.6
3203,873939.BJ,豪特曼,15.32
3204,873937.BJ,塔罗斯,27.7
3206,873931.BJ,潜阳科技,31.14
3207,873930.BJ,东明炬创,24.62
3208,873909.BJ,海多硅材,28.87
3209,873907.BJ,格瑞科技,24.58
3210,873906.BJ,智锂科技,32.55
3212,873895.BJ,格瑞迪斯,20.92
3213,873893.BJ,成记泰达,38.57
3218,873855.BJ,新富科技,17.31
3221,873811.BJ,千禧龙纤,18.95
3226,873777.BJ,红东方,80.88
3227,873757.BJ,汉和生物,18.34
3233,873684.BJ,磐石科技,15.52
3234,873683.BJ,云集数科,41.76
3237,873669.BJ,三协电机,19.25
3238,873662.BJ,和特能源,22.1
3239,873653.BJ,天和盛,31.26
3240,873644.BJ,万佳物业,29.23
3241,873640.BJ,纽科电子,45.28
3242,873636.BJ,博达软件,20.47
3244,873619.BJ,太湖文旅,32.79
3247,873573.BJ,森爱驰,37.6
3248,873570.BJ,坤博精工,26.32
3250,873549.BJ,华联医疗,21.38
3254,873517.BJ,三胜电器,45.3
3260,873491.BJ,赫岩科技,40.35
3261,873488.BJ,景灿股份,24.54
3264,873438.BJ,苏一工院,21.34
3265,873435.BJ,远航高新,24.45
3266,873429.BJ,嘉广科技,21.68
3269,873416.BJ,聚脉文化,17.76
3270,873410.BJ,生态家园,54.17
3272,873399.BJ,创匠信息,24.6
3280,873296.BJ,岐达科技,17.34
3282,873280.BJ,秦燕科技,24.66
3285,873269.BJ,赢时物业,23.86
3287,873243.BJ,黄山良业,20.6
3288,873237.BJ,ST五十弦,74.28
3291,873205.BJ,西铁电子,37.71
3297,873167.BJ,新赣江,18.14
3300,873125.BJ,山东博丽,28.89
3301,873107.BJ,海山游乐,110.54
3307,873059.BJ,莱恩光电,36.7
3316,872978.BJ,荣鑫股份,30.54
3317,872970.BJ,中科联诚,26.34
3319,872940.BJ,快乐番薯,31.9
3328,872792.BJ,西玛风机,17.71
3329,872739.BJ,蓝典科技,15.17
3346,872489.BJ,联博瑞翔,73.43
3349,872408.BJ,邦威防护,20.53
3351,872373.BJ,第一成美,23.75
3352,872351.BJ,华光源海,17.87
3354,872345.BJ,通慧科技,20.25
3356,872327.BJ,简达物流,42.72
3360,872260.BJ,百丰医药,16.49
3361,872242.BJ,新农人,20.68
3369,872153.BJ,孔凤春,19.41
3375,872109.BJ,光隆能源,124.57
3384,871951.BJ,左岸环境,26.19
3395,871803.BJ,太湖湖泊,29.66
3402,871674.BJ,德衡股份,15.66
3404,871643.BJ,祥生科技,69.87
3406,871635.BJ,中能北方,43.41
3413,871485.BJ,长安文化,15.67
3422,871324.BJ,新思备,15.59
3424,871310.BJ,汇湘轩,34.01
3426,871289.BJ,火焰山股,23.87
3427,871280.BJ,君立华域,30.43
3435,871158.BJ,东源股份,17.31
3437,871125.BJ,上洋股份,19.24
3439,871008.BJ,恒源洁具,19.83
3443,870935.BJ,爱吉仁,18.45
3445,870889.BJ,鲁班艺术,20.72
3449,870844.BJ,金浔股份,30.62
3453,870781.BJ,亿林科技,28.88
3460,870624.BJ,国瑞税务,53.82
3480,870369.BJ,交联电力,26.97
3490,870284.BJ,美厨家居,31.2
3491,870238.BJ,吉林一机,21.03
3497,870145.BJ,光博士,27.13
3502,870098.BJ,赛康医疗,24.08
3503,870073.BJ,力美照明,32.34
3519,839777.BJ,中构新材,15.56
3533,839560.BJ,中环检测,44.22
3535,839482.BJ,旭彤电子,18.51
3537,839477.BJ,迈凯诺,29.38
3541,839418.BJ,控汇股份,29.02
3543,839379.BJ,至诚融金,77.62
3546,839362.BJ,华力电气,16.08
3555,839198.BJ,联合信息,35.01
3574,838840.BJ,鑫亿软件,25.59
3575,838826.BJ,华茂林业,31.59
3583,838756.BJ,宏福孵化,155.98
3587,838691.BJ,金益环保,17.98
3594,838549.BJ,金博士,15.88
3600,838508.BJ,誉兴通,83.68
3609,838319.BJ,科思特,24.57
3620,838190.BJ,笑果科技,173.83
3624,838103.BJ,红一种业,16.86
3625,838099.BJ,日辉达,31.77
3627,838082.BJ,众加利,17.2
3631,838041.BJ,吉仕移动,51.36
3634,837983.BJ,海峡人力,25.01
3635,837982.BJ,协多利,17.25
3652,837729.BJ,湖南竹材,21.36
3653,837667.BJ,益生康健,26.16
3654,837631.BJ,拓普药业,16.22
3658,837580.BJ,锐邦传播,21.05
3660,837528.BJ,数据家,31.04
3661,837527.BJ,和田维药,27.26
3662,837525.BJ,纳兰德,16.66
3665,837455.BJ,邦盛北斗,28.84
3668,837396.BJ,昊月新材,26.8
3671,837291.BJ,汉盛海装,22.5
3673,837224.BJ,朗润智能,24.66
3674,837178.BJ,商科数控,35.43
3696,836708.BJ,中裕广恒,23.84
3697,836692.BJ,苏氧股份,15.97
3703,836605.BJ,立达股份,31.47
3714,836388.BJ,力姆泰克,23.54
3718,836274.BJ,泓杰股份,16.21
3723,836196.BJ,掌中无限,29.27
3727,836164.BJ,威利坚,18.51
3735,836098.BJ,华浩科技,106.48
3736,836090.BJ,创富港,28.96
3737,836072.BJ,夏兴科技,17.58
3749,835861.BJ,奥诺科技,29.41
3753,835850.BJ,凯欣股份,16.38
3756,835751.BJ,华天成,17.6
3759,835690.BJ,信源信息,24.41
3765,835555.BJ,森林股份,19.71
3766,835533.BJ,国信股份,19.0
3774,835450.BJ,隆源装备,26.61
3777,835374.BJ,联帮医疗,16.34
3780,835333.BJ,帕克国际,17.92
3785,835157.BJ,时讯立维,23.98
3790,835049.BJ,瀚易特,193.21
3803,834791.BJ,飞企互联,38.02
3809,834565.BJ,特美股份,49.6
3814,834424.BJ,美乐雅,126.3
3825,834221.BJ,华畅科技,22.38
3839,833962.BJ,方富创投,39.73
3845,833849.BJ,携宁科技,21.19
3851,833783.BJ,源培生物,18.61
3854,833700.BJ,阿斯克,16.9
3857,833658.BJ,铁血科技,15.14
3860,833650.BJ,美亚药业,27.35
3862,833524.BJ,光晟物联,30.72
3868,833458.BJ,悦为股份,78.49
3869,833453.BJ,永创医药,53.29
3870,833442.BJ,江苏铁科,16.81
3871,833430.BJ,八达科技,32.62
3876,833339.BJ,胜软科技,19.11
3879,833262.BJ,奥神新材,38.73
3882,833106.BJ,瑞奥电气,23.59
3894,832830.BJ,汉哲咨询,18.11
3907,832670.BJ,数亮科技,16.51
3909,832658.BJ,特别传媒,16.73
3916,832566.BJ,梓橦宫,15.19
3917,832554.BJ,桑尼泰克,15.81
3937,832294.BJ,鑫乐医疗,48.13
3944,832226.BJ,新阳升,62.88
3947,832189.BJ,科瑞达,17.27
3949,832149.BJ,利尔达,15.37
3952,832114.BJ,中爆数字,18.16
3953,832100.BJ,泰利思诺,18.52
3956,832055.BJ,军工智能,17.76
3959,832041.BJ,中兴通科,18.72
3976,831834.BJ,三维股份,16.49
3978,831793.BJ,利洋水产,57.36
3982,831734.BJ,展通电信,26.75
3992,831587.BJ,万事兴,44.39
3993,831539.BJ,国网自控,16.52
3998,831414.BJ,大洋义天,15.86
4001,831390.BJ,宜都运机,25.63
4006,831348.BJ,碧松照明,47.47
4009,831325.BJ,迈奇化学,30.85
4013,831276.BJ,松科快换,16.63
4014,831259.BJ,创优股份,36.59
4017,831201.BJ,润华股份,16.94
4026,831096.BJ,物润船联,26.48
4048,830836.BJ,荆楚网,22.19
4049,830809.BJ,安达科技,46.93
4054,688690.SH,纳微科技,21.64
4058,688639.SH,华恒生物,24.12
4073,688426.SH,康为世纪,19.82
4075,688392.SH,骄成超声,15.37
4080,688348.SH,昱能科技,18.02
4087,688273.SH,麦澜德,16.79
4089,688249.SH,晶合集成,26.91
